OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
5583244,4,Full,Good,0,39FCBB7B-DBA7-4F62-8BC6-68B0A5B6E249,POINT(-73.88191041626064 40.87218349916616),65560790-A484-49E3-9F6F-EBDCC95062A8,Acer rubrum - red maple,11:11.0,07:29.0,,3,07:29.0,-73.88191042,40.8721835
5583964,3,Full,Good,0,84C8CE3C-1183-4A1D-9996-BD98320B262D,POINT(-73.87775670174852 40.89667756693355),66765ED5-A4EF-4B68-9962-CE0AD18789BC,Acer rubrum - red maple,11:11.0,,,,,-73.8777567,40.89667757
5584452,,Stump,Dead,7,2561CA66-58F8-4B10-8C9A-D3A537F7466B,POINT(-73.87634038833606 40.86990237591828),CE1BF0AB-27C5-4BB1-A209-EAD605C190A1,Acer rubrum - red maple,11:11.0,13:13.0,,8,24:19.0,-73.87634039,40.86990238
5584931,11,Full,Good,0,74D5F5BC-CE47-4644-B519-ACB6C8F64F0D,POINT(-73.87616879531338 40.86978633537797),7459D26C-5AEF-4089-A98E-4151822BFC71,Acer rubrum - red maple,11:11.0,,,,,-73.8761688,40.86978634
5584936,5,Full,Good,0,7C5260DE-33C4-4766-9B5D-0F503629E328,POINT(-73.90619052038353 40.89991977881377),BB488963-E8EF-4E4D-8F2C-E97CCD9E105E,Acer rubrum - red maple,11:11.0,,,,,-73.90619052,40.89991978
5585461,22,Full,Fair,,205612F7-3CF5-41D7-A346-E45F42948A99,POINT(-73.89684505891444 40.88915917225698),867089E7-B107-4C61-8E9D-84B4FE9E3BB1,Acer rubrum - red maple,11:11.0,34:44.0,,9,34:44.0,-73.89684506,40.88915917
5586134,0,Full,Poor,0,33FA19FB-5974-4DB9-B659-E5CA0C60D319,POINT(-73.88670984563429 40.88396485554758),5B6592CB-A80D-4700-AD36-BCEC197D38A6,Acer rubrum - red maple,11:11.0,,,,,-73.88670985,40.88396486
5586205,34,Stump,Dead,23,F5BCECF6-2C35-4BBB-A873-7B2F6E7A8761,POINT(-73.89478405713436 40.90297771092063),23E7D5FB-D3AF-4388-B2EE-98837328B7A2,Acer rubrum - red maple,11:00.0,35:18.0,,9,11:00.0,-73.89478406,40.90297771
5586364,5,Full,Good,0,21AE9A9E-14B2-43F1-8372-CCAD0664F011,POINT(-73.88163514066062 40.87419565921269),4C938CB6-BBCF-49BB-8030-53E41159C582,Acer rubrum - red maple,11:11.0,56:36.0,,3,56:36.0,-73.88163514,40.87419566
5586623,2,Full,Good,0,43500A35-977B-470D-A150-63E710194035,POINT(-73.89674860682658 40.89761152959609),667A0184-AA11-41DC-9B48-FDB658B84959,Acer rubrum - red maple,11:11.0,,,,,-73.89674861,40.89761153
