id,observed_on,quality_grade,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name
83792607,2021-06-19,research,"Van Cortlandt Park, New York, NY, US",40.89044167,-73.89489667,banded snipe fly,Chrysopilus fasciatus,banded snipe fly,Insecta
83792697,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.89053,-73.894845,,Coenosia,Tiger Flies,Insecta
83793137,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,,Lucilia sericata,Common European Greenbottle Fly,Insecta
83793232,2021-06-19,research,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,banded snipe fly,Chrysopilus fasciatus,banded snipe fly,Insecta
83793374,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,,Lucilia sericata,Common European Greenbottle Fly,Insecta
83793461,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,Chyliza erudita,Chyliza erudita,,Insecta
83793555,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,,Oestroidea,"Bot Flies, Blow Flies, and Allies",Insecta
83794014,2021-06-19,needs_id,"Van Cortlandt Park, New York, NY, US",40.88956333,-73.89618667,,Coenosia,Tiger Flies,Insecta
83905515,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89109833,-73.89449333,Stable Fly,Stomoxys calcitrans,Stable Fly,Insecta
83905527,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89109667,-73.894495,Stable Fly,Stomoxys calcitrans,Stable Fly,Insecta
83905594,2021-06-19,research,"Van Cortlandt Park, New York, NY, US",40.89043833,-73.894905,Cattail Mosquito,Coquillettidia perturbans,Cattail Mosquito,Insecta
83905738,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89116333,-73.89457,Atomosia puella,Atomosia puella,Common Micropanther,Insecta
83909306,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89108333,-73.89462333,Atomosia,Atomosia,Micropanthers,Insecta
83909740,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89108333,-73.89462167,,Chironomidae,Non-biting Midges,Insecta
83909975,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89108333,-73.89462167,Condylostylus patibulatus,Condylostylus patibulatus,,Insecta
83910357,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89105333,-73.89469667,Atomosia,Atomosia,Micropanthers,Insecta
83910387,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89105333,-73.89469667,Atomosia puella,Atomosia puella,Common Micropanther,Insecta
83910454,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89108833,-73.89457833,Stable Fly,Stomoxys calcitrans,Stable Fly,Insecta
83910684,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89034667,-73.895225,Condylostylus patibulatus,Condylostylus patibulatus,,Insecta
83910724,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89029667,-73.895065,banded snipe fly,Chrysopilus fasciatus,banded snipe fly,Insecta
83910767,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89032667,-73.895095,,Coenosia,Tiger Flies,Insecta
83910801,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89040833,-73.89515667,Chrysopilus,Chrysopilus,,Insecta
83910897,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89031167,-73.89512,Condylostylus comatus,Condylostylus comatus,,Insecta
83910982,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89032333,-73.89523333,Asiatische Tigermücke,Aedes albopictus,Asian Tiger Mosquito,Insecta
83911152,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89018833,-73.895095,Aedes,Aedes,,Insecta
83911169,2021-06-20,needs_id,"Van Cortlandt Park, New York, NY, US",40.89012167,-73.89516333,,Coenosia,Tiger Flies,Insecta
83911180,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89023667,-73.89514167,Cluster Flies,Pollenia,Cluster Flies,Insecta
83911349,2021-06-20,research,"Van Cortlandt Park, New York, NY, US",40.89008,-73.89527833,Aedes canadensis canadensis,Aedes canadensis canadensis,,Insecta
84038192,2021-06-21,research,"Van Cortlandt Park, New York, NY, US",40.899405,-73.88966333,Condylostylus comatus,Condylostylus comatus,,Insecta
84038213,2021-06-21,research,"Van Cortlandt Park, New York, NY, US",40.89938333,-73.88955667,Inland Floodwater Mosquito,Aedes vexans,Inland Floodwater Mosquito,Insecta
84038282,2021-06-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.899285,-73.88967833,Marsh Snipe Fly,Rhagio tringarius,Marsh Snipe Fly,Insecta
84038307,2021-06-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.89945167,-73.88963333,,Lucilia sericata,Common European Greenbottle Fly,Insecta
84038441,2021-06-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.89963167,-73.88958667,"Fruit,  Signal, and Picture-winged Flies",Tephritoidea,"Fruit, Signal, and Picture-winged Flies",Insecta
84038616,2021-06-21,research,"Van Cortlandt Park, New York, NY, US",40.899505,-73.88964667,Quadrate Snipe Fly,Chrysopilus quadratus,Quadrate Snipe Fly,Insecta
84038681,2021-06-21,research,"Van Cortlandt Park, New York, NY, US",40.89949,-73.88967167,Condylostylus comatus,Condylostylus comatus,,Insecta
84038822,2021-06-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.89926167,-73.88968667,Condylostylus caudatus,Condylostylus caudatus,,Insecta
84038871,2021-06-21,needs_id,"Van Cortlandt Park, New York, NY, US",40.89903333,-73.88988667,Syrphini,Syrphini,,Insecta
84310149,2021-06-23,needs_id,"Van Cortlandt Lake, New York, NY, US",40.8896,-73.89045,Snail-killing Flies,Sepedon,Snail-killing Flies,Insecta
84310980,2021-06-23,needs_id,"Van Cortlandt Lake, New York, NY, US",40.88957,-73.89056333,Syrphini,Syrphini,,Insecta
